bibtex_key;title;author;journal;year;source
 ISI:000381792400018;Veracity of Information in Twitter Data: A Case Study;Kumar, Ashwin T. K. and Kammarpally, Prashanth and George, K. M.;;2016;ISI Web of Science
 ISI:000379294800037;A Heuristic Method of Identifying Key Microbloggers;Huang, Lidong and Wang, Wenxian and Chen, Xiaozhou and Chen, Junhua;;2016;ISI Web of Science
 ISI:000373444000012;"Information Credibility: A Probabilistic Graphical Model for Identifying
Credible Influenza Posts on Social Media";Guo, Qiaozhen and Huang, Wei (Wayne) and Huang, Kai and Liu, Xiao;;2016;ISI Web of Science
 ISI:000357707600005;"A graph-based comprehensive reputation model: Exploiting the social
context of opinions to enhance trust in social commerce";"Yan, Su-Rong and Zheng, Xiao-Lin and Wang, Yan and Song, William Wei and
Zhang, Wen-Yu";INFORMATION SCIENCES;2015;ISI Web of Science
 ISI:000362134900030;"Locating multiple sources in social networks under the SIR model: A
divide-and-conquer approach";Zang, Wenyu and Zhang, Peng and Zhou, Chuan and Guo, Li;JOURNAL OF COMPUTATIONAL SCIENCE;2015;ISI Web of Science
 ISI:000362280800004;Online Topic-Aware Influence Maximization;Chen, Shuo and Fan, Ju and Li, Guoliang and Feng, Jianhua and Tan, Kian-lee and Tang, Jinhui;PROCEEDINGS OF THE VLDB ENDOWMENT;2015;ISI Web of Science
 ISI:000380468400064;Dynamics of Multi-Campaign Propagation in Online Social Networks;"Thejaswi, M. and Vijayaraghavan, Sriniketh and Das, Avinash and
Thilagam, P. Santhi";;2015;ISI Web of Science
 ISI:000382666600192;A Novel Agent-Based Rumor Spreading Model in Twitter;Serrano, Emilio and Iglesias, Carlos A. and Garijo, Mercedes;;2015;ISI Web of Science
 ISI:000380773500010;Automatic Detection of Rumor on Social Network;"Zhang, Qiao and Zhang, Shuiyuan and Dong, Jian and Xiong, Jinhua and
Cheng, Xueqi";;2015;ISI Web of Science
 ISI:000380566000032;"Scalable Rumor Source Detection under Independent Cascade Model in
Online Social Networks";Xu, Wen and Chen, He;;2015;ISI Web of Science
 ISI:000380531100061;TOWARDS THE VERIFICATION OF IMAGE INTEGRITY IN ONLINE NEWS;Pasquini, Cecilia and Brunetta, Carlo and Vinci, Andrea F. and Conotter, Valentina and Boato, Giulia;;2015;ISI Web of Science
 ISI:000380430600060;Improving Spam Detection in Online Social Networks;Gupta, Arushi and Kaushal, Rishabh;;2015;ISI Web of Science
 ISI:000380511800038;Real-Time Personalized Stress Detection from Physiological Signals;Bin, Muhammad Syazani and Khalifa, Othman O. and Saeed, Rashid A.;;2015;ISI Web of Science
 ISI:000380460300008;Exploiting the Topology Property of Social Network for Rumor Detection;Yang, YeKang and Niu, Kai and He, ZhiQiang;;2015;ISI Web of Science
 ISI:000380387900010;Emerging Rumor Identification for Social Media with Hot Topic Detection;Yang, Zhifan and Wang, Chao and Zhang, Fan and Zhang, Ying and Zhang, Haiwei;;2015;ISI Web of Science
 ISI:000380411500045;A Lightweight Method to Investigate Unknown Social Network Structure;"Eghlidi, Negar Foroutan and Afshar, Ardavan and Ashenagar, Bahareh and
Hamzeh, Ali";;2015;ISI Web of Science
 ISI:000380459500006;"Social Media Data Aggregation and Mining for Internet-Scale Customer
Relationship Management";Wan, Stephen and Paris, Cecile and Georgakopoulos, Dimitrios;;2015;ISI Web of Science
 ISI:000380404600339;Detecting Rumor Patterns in Streaming Social Media;Wang, Shihan and Terano, Takao;;2015;ISI Web of Science
 ISI:000377715200010;"Social Authentication Identity: An Alternate to Internet Real Name
System";Shao, Chengcheng and Chen, Liang and Fan, Shuo and Jiang, Xinwen;;2015;ISI Web of Science
 ISI:000376403600002;Analyzing Factors Impacting Revining on the Vine Social Network;"Hosseinmardi, Homa and Ibn Rafiq, Rahat and Mattson, Sabrina Arredondo
and Han, Richard and Lv, Qin and Mishra, Shivakant";;2015;ISI Web of Science
 ISI:000376085000092;Automatic detection of Rumoured Tweets and finding its Origin;Sahana, V. P. and Pias, Alwyn R. and Shastri, Richa and Mandloi, Shweta;;2015;ISI Web of Science
